ID,Date,Element,Data_Value
SPE00120512,2012-12-20,TMAX,166
SPE00120512,2014-06-22,TMIN,161
SPE00120512,2009-11-28,TMIN,82
SPE00120512,2012-06-26,TMIN,243
SPE00120512,2013-01-22,TMAX,141
SPE00120512,2007-05-14,TMAX,245
SPE00120512,2013-07-19,TMIN,206
SPE00120512,2005-04-22,TMAX,280
SPE00120512,2012-12-20,TMIN,97
SPE00120512,2013-07-19,TMAX,359
SPE00120512,2005-04-22,TMIN,130
SPE00120512,2008-05-02,TMIN,129
SPE00120512,2011-12-28,TMIN,50
SPE00120512,2013-12-24,TMAX,164
SPE00120512,2009-12-01,TMAX,166
SPE00120512,2012-06-26,TMAX,409
SPE00120512,2010-08-06,TMAX,388
SPE00120512,2011-11-21,TMIN,106
SPE00120512,2015-12-31,TMAX,184
SPE00120512,2006-03-14,TMIN,94
SPE00120512,2012-08-19,TMAX,392
SPE00120512,2008-05-02,TMAX,285
SPE00120512,2015-09-19,TMAX,331
SPE00120512,2010-10-10,TMIN,154
SPE00120512,2006-03-14,TMAX,250
SPE00120512,2013-08-22,TMIN,227
SPE00120512,2006-10-20,TMIN,182
SPE00120512,2008-06-10,TMIN,170
SPE00120512,2013-12-24,TMIN,41
SPE00120512,2007-01-03,TMAX,191
SPE00120512,2013-01-30,TMAX,198
SPE00120512,2008-03-07,TMIN,39
SPE00120512,2006-11-25,TMAX,184
SPE00120512,2011-10-27,TMAX,223
SPE00120512,2013-11-10,TMAX,227
SPE00120512,2011-01-27,TMAX,164
SPE00120512,2012-07-10,TMAX,330
SPE00120512,2013-06-04,TMIN,156
SPE00120512,2011-06-22,TMAX,390
SPE00120512,2011-01-27,TMIN,95
SPE00120512,2011-07-31,TMIN,210
SPE00120512,2011-07-31,TMAX,350
SPE00120512,2009-01-31,TMIN,89
SPE00120512,2008-04-14,TMIN,116
SPE00120512,2011-03-24,TMIN,130
SPE00120512,2009-03-25,TMAX,255
SPE00120512,2011-09-10,TMAX,321
SPE00120512,2015-09-24,TMIN,162
SPE00120512,2011-11-28,TMIN,56
SPE00120512,2015-06-16,TMAX,315
SPE00120512,2009-11-29,TMIN,104
SPE00120512,2012-04-02,TMIN,128
SPE00120512,2013-01-22,TMIN,37
SPE00120512,2010-08-31,TMAX,363
SPE00120512,2007-05-14,TMIN,128
SPE00120512,2010-02-04,TMIN,104
SPE00120512,2008-11-26,TMIN,40
SPE00120512,2008-06-10,TMAX,288
SPE00120512,2013-05-09,TMAX,321
SPE00120512,2010-10-10,TMAX,243
SPE00120512,2010-08-06,TMIN,225
SPE00120512,2015-03-25,TMIN,71
SPE00120512,2005-03-04,TMIN,49
SPE00120512,2011-06-09,TMIN,153
SPE00120512,2011-04-03,TMIN,148
SPE00120512,2011-09-11,TMIN,201
SPE00120512,2008-06-09,TMIN,163
SPE00120512,2011-03-23,TMAX,219
SPE00120512,2013-05-09,TMIN,158
SPE00120512,2014-06-09,TMIN,145
SPE00120512,2011-12-02,TMAX,171
SPE00120512,2008-06-09,TMAX,275
SPE00120512,2011-07-27,TMIN,235
SPE00120512,2009-12-01,TMIN,47
SPE00120512,2008-10-29,TMIN,86
SPE00120512,2013-11-01,TMAX,235
SPE00120512,2012-08-19,TMIN,245
SPE00120512,2008-10-29,TMAX,198
SPE00120512,2013-11-01,TMIN,85
SPE00120512,2011-03-23,TMIN,110
SPE00120512,2010-05-26,TMAX,305
SPE00120512,2011-12-02,TMIN,79
SPE00120512,2011-09-14,TMIN,202
SPE00120512,2008-03-18,TMIN,93
SPE00120512,2008-02-14,TMAX,209
SPE00120512,2011-07-27,TMAX,396
